symbol,date,actual_change_pct,predicted_change_pct,correct_direction
RELIANCE,2025-08-26 00:00:00+05:30,0.07,0.41,1
RELIANCE,2025-09-03 00:00:00+05:30,-0.97,-0.23,1
RELIANCE,2025-09-10 00:00:00+05:30,0.46,-1.01,0
RELIANCE,2025-09-17 00:00:00+05:30,0.08,-0.16,0
RELIANCE,2025-09-24 00:00:00+05:30,-0.77,-0.45,1
RELIANCE,2025-10-01 00:00:00+05:30,-0.39,-0.21,1
RELIANCE,2025-10-09 00:00:00+05:30,0.28,-0.23,0
RELIANCE,2025-10-16 00:00:00+05:30,1.32,0.05,1
RELIANCE,2025-10-24 00:00:00+05:30,2.24,-0.29,0
RELIANCE,2025-10-31 00:00:00+05:30,-0.11,-0.14,1
RELIANCE,2025-11-10 00:00:00+05:30,0.28,-0.21,0
RELIANCE,2025-11-17 00:00:00+05:30,0.07,-1.05,0
RELIANCE,2025-11-24 00:00:00+05:30,0.25,-0.28,0
RELIANCE,2025-12-01 00:00:00+05:30,-1.26,0.01,0
RELIANCE,2025-12-08 00:00:00+05:30,-0.88,-0.27,1
RELIANCE,2025-12-15 00:00:00+05:30,-0.89,0.03,0
RELIANCE,2025-12-22 00:00:00+05:30,-0.3,0.23,0
RELIANCE,2025-12-30 00:00:00+05:30,1.99,-0.55,0
RELIANCE,2026-01-06 00:00:00+05:30,-0.23,-2.05,1
RELIANCE,2026-01-13 00:00:00+05:30,0.41,-0.28,0
RELIANCE,2026-01-21 00:00:00+05:30,-0.15,-0.0,1
RELIANCE,2026-01-29 00:00:00+05:30,0.32,0.27,1
RELIANCE,2026-02-05 00:00:00+05:30,0.51,0.56,1
RELIANCE,2026-02-12 00:00:00+05:30,-2.02,0.71,0
RELIANCE,2026-02-19 00:00:00+05:30,0.7,0.55,1
RELIANCE,2026-02-26 00:00:00+05:30,-0.92,-0.01,1
RELIANCE,2026-03-06 00:00:00+05:30,1.37,0.35,1
RELIANCE,2026-03-13 00:00:00+05:30,1.04,0.01,1
RELIANCE,2026-03-20 00:00:00+05:30,-0.47,0.45,0
RELIANCE,2026-03-30 00:00:00+05:30,1.88,-0.03,0
RELIANCE,2026-04-08 00:00:00+05:30,-1.32,0.27,0
RELIANCE,2026-04-16 00:00:00+05:30,1.62,0.23,1
RELIANCE,2026-04-23 00:00:00+05:30,-1.16,0.2,0
RELIANCE,2026-04-30 00:00:00+05:30,0.0,-0.23,0
RELIANCE,2026-05-08 00:00:00+05:30,-3.27,-0.37,1
